layer,n_scenes,dirichlet_ratio,top3_X_alignment_R2
0,60,0.03758377186313737,0.7267489592234294
1,60,0.037648964277468625,0.7287224690119426
2,60,0.03762913333581916,0.7290265490611394
3,60,0.037591772189868304,0.7295305679241816
4,60,0.03753582670566781,0.7289539088805517
5,60,0.037570585067927216,0.7286019504070282
6,60,0.037446768548882875,0.7336351096630096
7,60,0.03777575428248383,0.7316150595744451
8,60,0.0376789962669136,0.7382103085517884
9,60,0.03749689155665692,0.740043044090271
10,60,0.03755055622120077,0.7399450133244196
11,60,0.037511930929031226,0.7394529998302459
12,60,0.03763183129776735,0.7400429417689641
13,60,0.03703132899730311,0.7507034500439962
14,60,0.037465835734231706,0.7506520410378774
15,60,0.036817826300587816,0.7671635568141937
16,60,0.03608756248043695,0.7775497277577718
17,60,0.03610838380894468,0.7800217211246491
18,60,0.034698582384347296,0.8021079500516256
19,60,0.03521927475909858,0.7947876979907353
20,60,0.0356961904122727,0.7910141557455063
21,60,0.036307219593436454,0.7737008333206177
22,60,0.03687600727231863,0.7569077998399735
23,60,0.03744722229021136,0.7373380968968074
24,60,0.038280438621101594,0.7316560844580332
25,60,0.03872701858733005,0.7314093401034673
26,60,0.0387832407199312,0.7298013170560201
27,60,0.03786556523603698,0.7452894955873489
