scene_id,r_init,r_final,r_delta,a_init,a_final,a_delta,delta_norm_pct
s_002abd79ae_t0,0.03815582022070885,0.003953688777983189,-0.03420213144272566,0.3297078609466553,0.9229896664619446,0.5932818055152893,65.94564819335938
s_002abd79ae_t1,0.03502628579735756,0.0039092013612389565,-0.031117084436118603,0.43464142084121704,0.9165545701980591,0.48191314935684204,63.19565200805664
s_002d72ceb3_t0,0.07243024557828903,0.00015504406474065036,-0.07227520151354838,1.0,1.0,0.0,65.34868621826172
s_002d72ceb3_t1,0.07213912904262543,0.00022783724125474691,-0.07191129180137068,1.0,1.0,0.0,67.97806549072266
s_00656814a4_t0,0.034735001623630524,0.0005542074213735759,-0.03418079420225695,0.9725022315979004,0.9399680495262146,-0.03253418207168579,59.51228332519531
s_00656814a4_t1,0.03440423309803009,0.0006212368025444448,-0.033782996295485646,0.9400879144668579,0.9431993365287781,0.003111422061920166,61.09046173095703
s_006d56dae3_t0,0.050171785056591034,0.0018195504089817405,-0.04835223464760929,0.5092136859893799,0.9697800874710083,0.4605664014816284,66.75956726074219
s_006d56dae3_t1,0.04791813716292381,0.0018783158157020807,-0.04603982134722173,0.5370954275131226,0.9766950607299805,0.4395996332168579,66.31605529785156
s_006fb3ee75_t0,0.023774437606334686,0.0009268612484447658,-0.02284757635788992,0.8194084167480469,0.9929294586181641,0.1735210418701172,57.67893981933594
s_006fb3ee75_t1,0.02639668621122837,0.0009352601482532918,-0.02546142606297508,0.8398480415344238,0.9963400959968567,0.15649205446243286,61.38268280029297
s_0077a8476e_t0,0.034213196486234665,0.0019028764218091965,-0.03231032006442547,0.6623154878616333,0.9583483338356018,0.2960328459739685,74.40206909179688
s_0077a8476e_t1,0.03514128550887108,0.0019346155459061265,-0.03320666996296495,0.6571613550186157,0.9517890214920044,0.29462766647338867,73.81820678710938
s_007947564f_t0,0.02662096917629242,0.0004235368687659502,-0.02619743230752647,0.6500393152236938,0.8972406387329102,0.2472013235092163,63.42485046386719
s_007947564f_t1,0.028758864849805832,0.0004800836031790823,-0.02827878124662675,0.7310220003128052,0.9416429996490479,0.21062099933624268,66.20294189453125
s_0081786aa6_t0,0.12017280608415604,0.0401664674282074,-0.08000633865594864,1.0,1.0,0.0,65.66162872314453
s_0081786aa6_t1,0.12506674230098724,0.040237296372652054,-0.08482944592833519,1.0,1.0,0.0,68.62434387207031
s_008bbf20b4_t0,0.0006371152121573687,0.0001965079572983086,-0.00044060725485906005,1.0,1.0,0.0,26.10580825805664
s_008bbf20b4_t1,0.0006423426093533635,0.00020667650096584111,-0.0004356661083875224,1.0,1.0,0.0,25.93533706665039
s_00cc71e8a4_t0,0.053858861327171326,0.0013662208802998066,-0.05249264044687152,1.0,1.0,0.0,66.97650909423828
s_00cc71e8a4_t1,0.05109841004014015,0.0014316434971988201,-0.04966676654294133,1.0,1.0,0.0,67.69320678710938
s_00d91346dd_t0,0.02123239077627659,0.0006483802571892738,-0.020584010519087315,0.5952959656715393,0.9107496738433838,0.3154537081718445,61.0799560546875
s_00d91346dd_t1,0.01973150484263897,0.0006145891384221613,-0.019116915704216808,0.6373005509376526,0.9076665639877319,0.27036601305007935,58.35834884643555
s_00e053d1ee_t0,0.033614594489336014,0.0012435786193236709,-0.03237101587001234,0.56493079662323,0.944990873336792,0.380060076713562,68.90300750732422
s_00e053d1ee_t1,0.034891072660684586,0.0013294965028762817,-0.033561576157808304,0.7739659547805786,0.9509512782096863,0.17698532342910767,73.15670013427734
s_00e8458729_t0,0.044394008815288544,0.0027729247231036425,-0.0416210840921849,0.732454776763916,0.9381546974182129,0.20569992065429688,67.84163665771484
s_00e8458729_t1,0.0466904416680336,0.0027882119175046682,-0.04390222975052893,0.8077696561813354,0.9380092620849609,0.1302396059036255,69.24301147460938
s_00ed94a46a_t0,0.04345688223838806,0.0013098568888381124,-0.04214702534954995,0.5948322415351868,0.8732417821884155,0.27840954065322876,65.50585174560547
s_00ed94a46a_t1,0.03830955550074577,0.0012725539272651076,-0.037037001573480666,0.6019647121429443,0.8706052303314209,0.26864051818847656,61.08717346191406
s_00f11b76c0_t0,0.007442797534167767,0.001306585967540741,-0.006136211566627026,1.0,1.0,0.0,37.8281135559082
s_00f11b76c0_t1,0.007871987298130989,0.0013038109755143523,-0.006568176322616637,1.0,1.0,0.0,38.56764221191406
s_00f4b17015_t0,0.04603542014956474,0.004855243023484945,-0.0411801771260798,1.0,1.0,0.0,59.412349700927734
s_00f4b17015_t1,0.045628901571035385,0.004822280257940292,-0.04080662131309509,1.0,1.0,0.0,57.35315704345703
s_011a694044_t0,0.023057283833622932,0.0028717650566250086,-0.020185518776997924,0.8428754806518555,0.9690995812416077,0.1262241005897522,60.39347839355469
s_011a694044_t1,0.022124899551272392,0.002876998158171773,-0.01924790139310062,0.9203184247016907,0.9686817526817322,0.048363327980041504,60.89719009399414
s_011f4037a3_t0,0.04570111259818077,0.0024876734241843224,-0.04321343917399645,0.3018719553947449,0.8506972193717957,0.5488252639770508,71.20967864990234
s_011f4037a3_t1,0.040703654289245605,0.002503860043361783,-0.03819979424588382,0.6609594821929932,0.8503105044364929,0.18935102224349976,72.33113098144531
s_01205d3bb7_t0,0.04004685953259468,0.00037742353742942214,-0.03966943599516526,0.9504320621490479,0.9666221141815186,0.016190052032470703,60.863529205322266
s_01205d3bb7_t1,0.041503455489873886,0.0004022041102871299,-0.041101251379586756,0.9420738816261292,0.9669540524482727,0.024880170822143555,62.41637420654297
s_01392300cf_t0,0.009462190791964531,0.0010155976051464677,-0.008446593186818063,0.4912785291671753,0.8556287884712219,0.36435025930404663,40.291908264160156
s_01392300cf_t1,0.01039482094347477,0.0010515068424865603,-0.00934331410098821,0.4816427230834961,0.8730828166007996,0.39144009351730347,44.370052337646484
s_0154aea7d4_t0,0.02962428331375122,0.0011100335977971554,-0.028514249715954065,0.6441402435302734,0.9522822499275208,0.3081420063972473,57.31476593017578
s_0154aea7d4_t1,0.030778462067246437,0.0011710526887327433,-0.029607409378513694,0.5631209015846252,0.9545719623565674,0.39145106077194214,59.422237396240234
s_01564a7c99_t0,0.03153997287154198,0.0037736559752374887,-0.027766316896304488,1.0,1.0,0.0,54.04792022705078
s_01564a7c99_t1,0.030931035056710243,0.0037150466814637184,-0.027215988375246525,1.0,1.0,0.0,49.61235046386719
s_01a378627c_t0,0.06521329283714294,0.007244421634823084,-0.05796887120231986,0.7173001170158386,0.9300594925880432,0.2127593755722046,65.7558364868164
s_01a378627c_t1,0.06455396115779877,0.0073123499751091,-0.05724161118268967,0.7077983617782593,0.9305605888366699,0.22276222705841064,68.77532958984375
